checkpoint,task,metric,records,normal,knockout,delta_knockout_minus_normal,positive_delta_frac,retention_ratio
b5027,triviaqa,answer_nll,200,3.615769668072462,3.6091362030059098,-0.006633465066552162,0.455,
b5027,popqa,answer_nll,200,9.611481037139892,9.592465469837189,-0.01901556730270386,0.405,
b5027,triviaqa,5shot_em,100,0.0,0.0,0.0,,
b5027,popqa,5shot_em,100,0.0,0.0,0.0,,
h4v3_b0952,triviaqa,answer_nll,100,4.587001770734787,4.58309518456459,-0.003906586170196533,0.43,
h4v3_b0952,popqa,answer_nll,100,9.95633460521698,9.958045644760132,0.0017110395431518554,0.6,
h4v3_b5027,triviaqa,answer_nll,200,3.3624197037518027,3.373400285243988,0.010980581492185592,0.53,
h4v3_b5027,popqa,answer_nll,200,9.733436540365219,9.768374952077865,0.034938411712646486,0.58,
h4v3_b5027,triviaqa,5shot_em,100,0.0,0.0,0.0,,
h4v3_b5027,popqa,5shot_em,100,0.0,0.0,0.0,,
